run,dataset,num_neighbors,removal,pqr,all_data_hamm_loss,all_data_zero_loss,removed_data_hamm_loss,removed_data_zero_loss
0,Family,15,40,0_0_1,0.251375137513751,0.99009900990099,0.291044776119403,1
0,Family,20,40,0_0_1,0.248624862486249,0.985148514851485,0.285240464344942,0.992537313432836
0,Family,25,40,0_0_1,0.246149614961496,0.99009900990099,0.287728026533997,1
0,Family,5,40,0_1_0,0.24009900990099,0.985148514851485,0.278606965174129,1
0,Family,10,40,0_1_0,0.242574257425743,0.975247524752475,0.283996683250415,1
0,Family,15,40,0_1_0,0.234873487348735,0.96039603960396,0.282752902155887,1
0,Family,20,40,0_1_0,0.237623762376238,0.965346534653465,0.283996683250415,0.992537313432836
0,Family,25,40,0_1_0,0.235698569856986,0.96039603960396,0.283582089552239,1
0,Family,5,40,1_0_0,0.630638063806381,1,0.588308457711443,1
0,Family,10,40,1_0_0,0.635313531353135,1,0.591625207296849,1
0,Family,15,40,1_0_0,0.635038503850385,1,0.595356550580431,1
0,Family,20,40,1_0_0,0.634213421342134,1,0.593283582089552,1
0,Family,25,40,1_0_0,0.638338833883388,1,0.598258706467662,1
0,Family,5,40,1_1_1,0.615511551155115,1,0.61028192371476,1
0,Family,10,40,1_1_1,0.606710671067107,1,0.599502487562189,1
0,Family,15,40,1_1_1,0.616061606160616,1,0.612354892205638,1
0,Family,20,40,1_1_1,0.624037403740374,1,0.615257048092869,1
0,Family,25,40,1_1_1,0.635313531353135,1,0.628524046434494,1
0,Family,5,45,0_0_0,0.34048404840484,1,0.377934272300469,1
0,Family,10,45,0_0_0,0.341309130913091,1,0.378325508607199,1
0,Family,15,45,0_0_0,0.345159515951595,1,0.38302034428795,1
0,Family,20,45,0_0_0,0.342409240924092,0.995049504950495,0.379499217527386,1
0,Family,25,45,0_0_0,0.33965896589659,1,0.376760563380282,1
0,Family,5,45,0_0_1,0.320957095709571,1,0.334507042253521,1
0,Family,10,45,0_0_1,0.319031903190319,1,0.331377151799687,1
0,Family,15,45,0_0_1,0.307205720572057,1,0.315336463223787,1
0,Family,20,45,0_0_1,0.30968096809681,1,0.318075117370892,1
0,Family,25,45,0_0_1,0.306655665566557,1,0.314162754303599,1
0,Family,5,45,0_1_0,0.252750275027503,0.98019801980198,0.284820031298905,1
0,Family,10,45,0_1_0,0.222772277227723,0.98019801980198,0.253912363067293,0.992957746478873
0,Family,15,45,0_1_0,0.21974697469747,0.985148514851485,0.250782472613459,1
0,Family,20,45,0_1_0,0.218921892189219,0.98019801980198,0.247261345852895,0.985915492957746
0,Family,25,45,0_1_0,0.216996699669967,0.975247524752475,0.246478873239437,0.97887323943662
0,Family,5,45,1_0_0,0.624587458745875,1,0.588810641627543,1
0,Family,10,45,1_0_0,0.635038503850385,1,0.596244131455399,1
0,Family,15,45,1_0_0,0.637788778877888,1,0.600156494522692,1
0,Family,20,45,1_0_0,0.633938393839384,1,0.597026604068858,1
0,Family,25,45,1_0_0,0.633113311331133,1,0.596635367762128,1
0,Family,5,45,1_1_1,0.385863586358636,1,0.41471048513302,1
0,Family,10,45,1_1_1,0.396039603960396,1,0.42527386541471,1
0,Family,15,45,1_1_1,0.377887788778878,1,0.410015649452269,1
