run,dataset,class_name,removal,pqr,all_data_recall,all_data_f1,all_data_precision,all_data_accuracy,all_data_jaccard,removed_data_recall,removed_data_f1,removed_data_precision,removed_data_accuracy,removed_data_jaccard
0,Family,Mother,75,1_1_1,0.23333333333333334,0.1564245810055866,0.11764705882352941,0.2524752475247525,0.08484848484848485,0.28888888888888886,0.4482758620689655,1.0,0.28888888888888886,0.28888888888888886
0,Family,Mother,80,0_0_0,0.016666666666666666,0.03278688524590164,1.0,0.7079207920792079,0.016666666666666666,0.0,0.0,0.0,0.0,0.0
0,Family,Mother,80,0_0_1,0.2,0.3333333333333333,1.0,0.7623762376237624,0.2,0.0,0.0,0.0,0.0,0.0
0,Family,Mother,80,0_1_0,0.2,0.3333333333333333,1.0,0.7623762376237624,0.2,0.0,0.0,0.0,0.0,0.0
0,Family,Mother,80,1_0_0,1.0,0.502092050209205,0.33519553072625696,0.41089108910891087,0.33519553072625696,1.0,1.0,1.0,1.0,1.0
0,Family,Mother,80,1_1_1,0.25,0.16483516483516483,0.12295081967213115,0.24752475247524752,0.08982035928143713,0.3125,0.47619047619047616,1.0,0.3125,0.3125
0,Family,Sister,0,0_0_0,0.2857142857142857,0.4444444444444444,1.0,0.8514851485148515,0.2857142857142857,,,,,
0,Family,Sister,0,0_0_1,1.0,0.6666666666666666,0.5,0.7920792079207921,0.5,,,,,
0,Family,Sister,0,0_1_0,1.0,0.9767441860465116,0.9545454545454546,0.9900990099009901,0.9545454545454546,,,,,
0,Family,Sister,0,1_0_0,1.0,0.3514644351464435,0.2131979695431472,0.23267326732673269,0.2131979695431472,,,,,
0,Family,Sister,0,1_1_1,0.0,0.0,0.0,0.41089108910891087,0.0,,,,,
0,Family,Sister,5,0_0_0,0.2619047619047619,0.41509433962264153,1.0,0.8465346534653465,0.2619047619047619,0.0,0.0,0.0,0.0,0.0
0,Family,Sister,5,0_0_1,1.0,0.6885245901639344,0.525,0.8118811881188119,0.525,1.0,1.0,1.0,1.0,1.0
0,Family,Sister,5,0_1_0,1.0,0.9545454545454546,0.9130434782608695,0.9801980198019802,0.9130434782608695,1.0,1.0,1.0,1.0,1.0
0,Family,Sister,5,1_0_0,1.0,0.3514644351464435,0.2131979695431472,0.23267326732673269,0.2131979695431472,1.0,1.0,1.0,1.0,1.0
0,Family,Sister,5,1_1_1,0.0,0.0,0.0,0.42574257425742573,0.0,0.0,0.0,0.0,0.0,0.0
0,Family,Sister,10,0_0_0,0.19047619047619047,0.32,1.0,0.8316831683168316,0.19047619047619047,0.0,0.0,0.0,0.0,0.0
0,Family,Sister,10,0_0_1,1.0,0.6942148760330579,0.5316455696202531,0.8168316831683168,0.5316455696202531,1.0,1.0,1.0,1.0,1.0
0,Family,Sister,10,0_1_0,1.0,0.9230769230769231,0.8571428571428571,0.9653465346534653,0.8571428571428571,1.0,1.0,1.0,1.0,1.0
0,Family,Sister,10,1_0_0,1.0,0.3559322033898305,0.21649484536082475,0.24752475247524752,0.21649484536082475,1.0,1.0,1.0,1.0,1.0
0,Family,Sister,10,1_1_1,0.0,0.0,0.0,0.4801980198019802,0.0,0.0,0.0,0.0,0.0,0.0
0,Family,Sister,15,0_0_0,0.19047619047619047,0.32,1.0,0.8316831683168316,0.19047619047619047,0.0,0.0,0.0,0.0,0.0
0,Family,Sister,15,0_0_1,1.0,0.711864406779661,0.5526315789473685,0.8316831683168316,0.5526315789473685,1.0,1.0,1.0,1.0,1.0
0,Family,Sister,15,0_1_0,0.9761904761904762,0.9318181818181818,0.8913043478260869,0.9702970297029703,0.8723404255319149,0.8333333333333334,0.9090909090909091,1.0,0.8333333333333334,0.8333333333333334
